RussiaGate	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	FBI,Trump Aide,The Russian Government	JanKimbrough	na
UFC211	 what's really funny @dc_mma was how mad Fitch was that someone took him down and held him down	 what's really funny @dc_mma was how mad Fitch was that someone took him down and held him down	mad Fitch	GriiffinNoel	na
nan	These NUGGETS! 	These NUGGETS! 		jacie_me_rollin	na
UFC211	LETS GO MAIA! 	LETS GO MAIA! 	MAIA	ggooglyboogly	na
ufc211	Welp. I was cheering for Maia tonight. Then he had to walk out to Linkin Park. Yeah I don't know if I can do that now 	Welp. I was cheering for Maia tonight. Then he had to walk out to Linkin Park. Yeah I don't know if I can do that now 	Maia,Linkin Park	MrIzdik	na
UFC211	This is going to be some fight!! 	This is going to be some fight!! 		RossKiely95	na
UFC211	I love that Masvidal doesn't even try to play to the cameras when shadowboxing 	I love that Masvidal doesn't even try to play to the cameras when shadowboxing 		gizzmo11477	na
UFC211	Now that I've talked shit to @eugeneSrobinson, @GamebredFighter has a jinx working in his favor.  	Now that I've talked shit to @eugeneSrobinson, @GamebredFighter has a jinx working in his favor.  		Fight_Whisperer	na
ufc211	@FrankieEdgar is one impressive fighter 	@FrankieEdgar is one impressive fighter 		TSDpod	na
UFC211	"@GamebredFighter wins the battle of walk out music. 
"	"@GamebredFighter wins the battle of walk out music. 
"		JerseyChi	na
ThrowBack, UFC211	Props to Maia for walking out to Numb  	Props to Maia for walking out to Numb  	Maia	teddyboivin	na
UFC211	Crowd reaction says it all  	Crowd reaction says it all  		theysaymateo	na
UFC211	@FrankieEdgar will always be the fan's favorite.  Dude is a beast. He's humble.  And always brings it! 	@FrankieEdgar will always be the fan's favorite.  Dude is a beast. He's humble.  And always brings it! 		theyoungjoo	na
UFC211	Masvidal coming out to the Scarface theme. Aaaahahahaha 	Masvidal coming out to the Scarface theme. Aaaahahahaha 	Scarface	HishDev	na
UFC211	I pick Masvidal to win big here because Maia has Numb as his walkout song. 	I pick Masvidal to win big here because Maia has Numb as his walkout song. 	Maia	_SeanDonnelly	na
UFC211, SignTheFeatherweights	@MeganA_mma I'm a huge Maia fan but I'm nervous for sure.   	@MeganA_mma I'm a huge Maia fan but I'm nervous for sure.   	Maia	TheShaneRussell	na
UFC211, UFC, MMA	UFC hates Maia so much they make him walk out to Linkin Park.   	UFC hates Maia so much they make him walk out to Linkin Park.   	UFC,Maia,Linkin Park	AcostaIsLegend	na
nan	I like both of these guys. I'll be sad no matter who wins. I'm leaning Maia tho. 	I like both of these guys. I'll be sad no matter who wins. I'm leaning Maia tho. 		ProfessorBLove	na
nan	Fuck sake man!!! 😷😳 	Fuck sake man!!! 😷😳 		S_Shady7	na
UFC211	Masvidal walking out to the Scarface theme music 	Masvidal walking out to the Scarface theme music 	Scarface	evil_ecco	na
UFC211	 Post Fight Interview with @DavidcBranchMMA 	 Post Fight Interview with @DavidcBranchMMA 		TheTruthJackson	na
UFC211, UFCfi	Oh yes. Let's do diiiiiiz @demianmaia !  	Oh yes. Let's do diiiiiiz @demianmaia !  		LarsLapamato	na
UFC211	The timeline goes to shit when no sports are on....I'm watching  though 👍👊	The timeline goes to shit when no sports are on....I'm watching  though 👍👊		500KFlea	na
UFC211	Dunno why but Demian Maia coming out to Linking Park is hilarious 	Dunno why but Demian Maia coming out to Linking Park is hilarious 	Demian Maia,Linking Park	riju_nayak	na
UFC211	@ufc I didn't go to the beach with my fam bc i was hoping Yair would win the fight 😫 	@ufc I didn't go to the beach with my fam bc i was hoping Yair would win the fight 😫 		MachineGunJofee	na
maia, ufc211	Rooting for  	Rooting for  		pcassidy_UK	na
UFC211	There may be no fighter on the UFC roster I'm more unabashedly rooting for than Demian Maia. 	There may be no fighter on the UFC roster I'm more unabashedly rooting for than Demian Maia. 	UFC,Demian Maia	JesseScheckner	na
nan	Crap... 	Crap... 		marc_raimondi	na
UFC211	😳  @FrankieEdgar congrats! 	😳  @FrankieEdgar congrats! 		byyeoside	na
UFC211	"CONGRATS JOE SILVA on the Hall of Fame @ufc
 "	"CONGRATS JOE SILVA on the Hall of Fame @ufc
 "	CONGRATS JOE SILVA	islandmobosp	na
UFC211	Edgar just messed him up  	Edgar just messed him up  	Edgar	JayAndersonMMA	na
nan	Maia finna lose 	Maia finna lose 	Maia	MrDibsGotScampi	na
UFC211	Maia is awesome, but walking out to Numb by Linkin Park is not. 	Maia is awesome, but walking out to Numb by Linkin Park is not. 	Maia,Linkin Park	Super_EWilliams	na
UFC211	It's a joy to watch Maia. The epitome of a martial arts master. 	It's a joy to watch Maia. The epitome of a martial arts master. 	Maia	AckerooBanzai	na
DosSantos, Miocic, UFC211, boxing	Wow TV  UFC 211 Live   Stream Edgar vs.  Rodriguez      Get Your Link  	Wow TV  UFC 211 Live   Stream Edgar vs.  Rodriguez      Get Your Link  	Edgar,Rodriguez	muktanpi	na
ufc211	Gatekeeper doin his thing, that eye though 	Gatekeeper doin his thing, that eye though 		Del_Thinks	na
uFC211	The fight the UFC never wanted was Frankie vs McGregor.. it would have been interesting to see. 	The fight the UFC never wanted was Frankie vs McGregor.. it would have been interesting to see. 	UFC,Frankie	SchooiWood	na
Masvidal, UFC211	@danawhite bout to be $200K richer if  loses tonight? 	@danawhite bout to be $200K richer if  loses tonight? 		FightClipFilms	na
UFC211	God damn this is a good card. 	God damn this is a good card. 		bradnewsbear	na
nan	DC is awesome! 	DC is awesome! 	DC	PWPNation	na
UFC211	 results: @FrankieEdgar stops Yair Rodriguez via TKO at (5:00) of Rd 2. (doctor stoppage end of Rd 2/Yair eye swollen shut)	 results: @FrankieEdgar stops Yair Rodriguez via TKO at (5:00) of Rd 2. (doctor stoppage end of Rd 2/Yair eye swollen shut)	Yair Rodriguez,TKO	combatesmundial	na
ufc211	That's bullshit it shouldn't be a NC he should have got DQ 	That's bullshit it shouldn't be a NC he should have got DQ 	NC,DQ	CodyS777	na
UFC211	Sucks to see Yair lose like that. Edgar is just too dominant. Now let's go Masvidal !! 	Sucks to see Yair lose like that. Edgar is just too dominant. Now let's go Masvidal !! 	Yair,Edgar	MisreadPoet	na
ufc211	I'm giving you $5 off each of your first 4 Uber rides. To accept, use code 'jesusn919ue' to sign up.  	I'm giving you $5 off each of your first 4 Uber rides. To accept, use code 'jesusn919ue' to sign up.  		mrspdipset866	na
UFC211	Can we please get this guy a title shot @demianmaia 	Can we please get this guy a title shot @demianmaia 		TeamEganMMA	na
UFC211	How do you deal with Yair's style? Frankie Edgar had The Answer 	How do you deal with Yair's style? Frankie Edgar had The Answer 	Yair,Frankie Edgar	GBilefete	na
UFC211	I feel like Maia didn't respond to the email requesting walkout songs and got stuck with Linkin Park. 	I feel like Maia didn't respond to the email requesting walkout songs and got stuck with Linkin Park. 	Maia,Linkin Park	BenjaminAbrigo	na
nan	Us handicappers shy away from nepotism and cronyism, @eugeneSrobinson. 	Us handicappers shy away from nepotism and cronyism, @eugeneSrobinson. 		eugeneSrobinson	na
UFC211	Now I wanna watch Scarface. 	Now I wanna watch Scarface. 	Scarface	mancillas_jose	na
UFC211	"🐐 GOAT QUOTE 🐐

@FrankieEdgar |  "	"🐐 GOAT QUOTE 🐐

@FrankieEdgar |  "		ufc	na
UFC211	Before tonight's  main event, take one last look at who fellow @ufc fighters are picking in @stipemiocicufc vs. @junior_cigano. 	Before tonight's  main event, take one last look at who fellow @ufc fighters are picking in @stipemiocicufc vs. @junior_cigano. 		MMAjunkie	na
IamwithFrankie, UFC211	"Let's go Frankie!!!! Knock this kid out!
 "	"Let's go Frankie!!!! Knock this kid out!
 "	Frankie	RowdyTomCat	na
UFC211	Terrific fight here. Yair has championship potential, but is he ready to beat someone like Frankie Edgar? 	Terrific fight here. Yair has championship potential, but is he ready to beat someone like Frankie Edgar? 	Frankie Edgar	RaCuevas	na
UFC211	@demianmaia coming out to a LP Song when @LIKINPARK_ was actually good. 	@demianmaia coming out to a LP Song when @LIKINPARK_ was actually good. 	LP Song	GarryISRad	na
UFC211	@FrankieEdgar is a real life rocky balboa and an absolute legend 	@FrankieEdgar is a real life rocky balboa and an absolute legend 	rocky balboa	TDeathstar	na
UFC211	Maia coming out to Linkin Narc? Ruh roh! 	Maia coming out to Linkin Narc? Ruh roh! 		theeffect1500	na
ufc211	Let's get this Frankie 	Let's get this Frankie 		CharlieGruver1	na
ufc211	Demian maia walking out to Linkin park!!! 	Demian maia walking out to Linkin park!!! 	Demian maia,Linkin park	nickcox42	na
UFC211	"Demian Maia vs. Jorge ""Gamebred"" Masvidal is going to be SO interesting! I honestly don't know how this fight will end! Let's see! "	"Demian Maia vs. Jorge ""Gamebred"" Masvidal is going to be SO interesting! I honestly don't know how this fight will end! Let's see! "	Demian Maia,Jorge	SexyJairBear	na
UFC211	MMAFightingThe fight is over. Edgar by TKO, doctor’s stoppage. 	MMAFightingThe fight is over. Edgar by TKO, doctor’s stoppage. 	Edgar,TKO	MMAHWatch	na
nan	No contest or not, lets hope those two get something from @ufc for that performance. Great fight while it lasted. 	No contest or not, lets hope those two get something from @ufc for that performance. Great fight while it lasted. 		anttopquality	na
UFC211	We see you @ALIAQUINTA 😂  	We see you @ALIAQUINTA 😂  		Black_Lee13	na
UFC211	Lol Frankie destroying him atm 	Lol Frankie destroying him atm 	Frankie	FashionHitList	na
UFC211	Cool that matchmaker Joe Silva will be inducted into the UFC Hall of Fame. That's a tough job, pulled 100 different ways daily. 	Cool that matchmaker Joe Silva will be inducted into the UFC Hall of Fame. That's a tough job, pulled 100 different ways daily. 	Joe Silva,UFC Hall of Fame.That	ArdaOcalTV	na
UFC211	Demian Maia is so enjoyable to watch 	Demian Maia is so enjoyable to watch 	Demian Maia	Jumanator	na
UFC211	Damn. Yair didnt stand a chance. 	Damn. Yair didnt stand a chance. 		Eliseo951	na
UFC211	Total mauling  Edgar schooled the young buck I think Maia bout to do the same ting .!	Total mauling  Edgar schooled the young buck I think Maia bout to do the same ting .!	Edgar	shockusmaximus	na
UFC211	I got Maia right here. But the Scarface music is definitely a cool touch from Masvidal. 	I got Maia right here. But the Scarface music is definitely a cool touch from Masvidal. 	Maia,Masvidal	TheJakeMitchell	na
UFC211	Ugh, DC's voice and personality annoys me. hope Jones destroys him in their rematch 	Ugh, DC's voice and personality annoys me. hope Jones destroys him in their rematch 	DC,Jones	DrunkRufie	na
UFC211	Ballsy move for Maia taking this fight. Says a lot for his confidence. 	Ballsy move for Maia taking this fight. Says a lot for his confidence. 	Maia	OctagonPost	na
UFC211	Yair Rodriguez after 15minutes   	Yair Rodriguez after 15minutes   	Rodriguez	BronsonMMA	na
UFC211	OMFG!!! WHAT A FIGHT!!! Chase Sherman vs Rashad Coulter !!! 	OMFG!!! WHAT A FIGHT!!! Chase Sherman vs Rashad Coulter !!! 	Sherman,Rashad Coulter	TheEnforcerJG	na
UFC211	Let's go Maia! 🇧🇷 	Let's go Maia! 🇧🇷 	Maia	GordieMcGuire89	na
ufc211	Nice cold brewskis  and combat sports. I am in my happy place .	Nice cold brewskis  and combat sports. I am in my happy place .		alstover	na
ufc211	Ok, Joe-Jitsu, we know Maia is great at BJJ, just relax. 	Ok, Joe-Jitsu, we know Maia is great at BJJ, just relax. 	Joe-Jitsu,Maia,BJJ	billthebutcher2	na
UFC211	"@GamebredFighter is the epitome of the overused term ""gangster""  "	"@GamebredFighter is the epitome of the overused term ""gangster""  "		laura_sanko	na
UFC211	 Whats up with the screaming lady in the audience? Plz shut her up!	 Whats up with the screaming lady in the audience? Plz shut her up!		breezey2399	na
UFC211	Linkin Park? Linkin Park. And the OLD Linkin Park. 	Linkin Park? Linkin Park. And the OLD Linkin Park. 	Linkin Park,Linkin Park,Linkin Park	johnmichaelsaid	na
UFC211	Did Dana take that 200k bet...? 	Did Dana take that 200k bet...? 	Dana	liteshots	na
UFC211	I'm taking @GamebredFighter just a beast of a fighter always has been 	I'm taking @GamebredFighter just a beast of a fighter always has been 		MMA_KIN	na
UFC211	"He's walking out to Linkin Park 😳😂
"	"He's walking out to Linkin Park 😳😂
"	Linkin Park	_AIZENBERG_	na
UFC211	Wow! @FrankieEdgar just taught a ground and pound clinic to the talented @panteraufc! @ufc  	Wow! @FrankieEdgar just taught a ground and pound clinic to the talented @panteraufc! @ufc  		RealFunnyMMA	na
UFC211	I got Maia winning this 	I got Maia winning this 	Maia	2reel4you	na
ufc211	Sooo up in the air with this one! Great fight! Going with masvidal though 	Sooo up in the air with this one! Great fight! Going with masvidal though 		kcpko	na
UFC211	Huge shots by @FrankieEdgar land on Yair!  	Huge shots by @FrankieEdgar land on Yair!  	Yair	JFCarterIII28	na
UFC211	The cut man screwed over Yair Rodriquez in between rounds  cmon refs and cut men DO. YOUR. JOB! 	The cut man screwed over Yair Rodriquez in between rounds  cmon refs and cut men DO. YOUR. JOB! 	Yair Rodriquez	DeionTrueToATL	na
UFC211	"Pure domination!

@FrankieEdgar reminds us that he's a straight BEAST!!  "	"Pure domination!

@FrankieEdgar reminds us that he's a straight BEAST!!  "		CoachJankos	na
nan	Love @FrankieEdgar I want to see that title around his waist again! 	Love @FrankieEdgar I want to see that title around his waist again! 		OneOnly368	na
UFC211	is that fucking linkin park Meia?! 	is that fucking linkin park Meia?! 		DojoMaul	na
UFC211	Exactly my thoughts  	Exactly my thoughts  		thomasjw	na
UFC211	Let's go Maia ! 	Let's go Maia ! 	Maia	DejaHill97	na
nan	CNN exemplifies the empty calories of infotainment with meaningless noise signifying nothing but the dmise of state… 	CNN exemplifies the empty calories of infotainment with meaningless noise signifying nothing but the dmise of state… 	meaningless noise	DoreeeV	na
Dominant	RT Dmoceanu: 👊🏻 Always fights with his heart!   	RT Dmoceanu: 👊🏻 Always fights with his heart!   		GetPaidinBlood	na
UFC211	"When one fighter enters to the song from ""Scarface"" and the other enters to  ""Numb"". Tells you the mindset of the fighters "	"When one fighter enters to the song from ""Scarface"" and the other enters to  ""Numb"". Tells you the mindset of the fighters "	Scarface,Numb	TonyAbah01	na
UFC211	Let's go @demianmaia  	Let's go @demianmaia  		wehaveagronk	na
UFC211	Let's go @demianmaia! 	Let's go @demianmaia! 		AjOsterkamp	na
ufc211, ufc212	Holloway vs Aldo is going to be a 5-round war ending in a close decision. Anything else would be shocking imo  	Holloway vs Aldo is going to be a 5-round war ending in a close decision. Anything else would be shocking imo  	Holloway,Aldo	JonBon_Joey	na
nan	I feel like it's because he thinks the lyrics are about choking someone. 	I feel like it's because he thinks the lyrics are about choking someone. 		TonyThumbPoke	na
UFC211	Maia vs. Masvidal giving me goosebumps.  	Maia vs. Masvidal giving me goosebumps.  	Maia	andremgeorgiou	na
UFC211, TheAnswer, saturdaynight, NewYork, RealDeal, livinglegend	@FrankieEdgar beat up @panteraufc like hes bestfriends with @bjpenndotcom      	@FrankieEdgar beat up @panteraufc like hes bestfriends with @bjpenndotcom      		SBTheCritic	na
UFC211	Masvidal just oozes confidence 	Masvidal just oozes confidence 	Masvidal	RealCJHanratty	na
UFC211	"🇭🇷🇺🇸 @stipemiocicufc
🏆 Heavyweight Champ
👊 
📆 Tonight! "	"🇭🇷🇺🇸 @stipemiocicufc
🏆 Heavyweight Champ
👊 
📆 Tonight! "		_LeoLeoLeoLeo_	na
UFC211	 that sucks that the fight didn't go all three rounds but Frankie Edgar got their Victory and that's good enough I guess but oh well	 that sucks that the fight didn't go all three rounds but Frankie Edgar got their Victory and that's good enough I guess but oh well	Frankie Edgar	chris_drop	na
UFC211	 RT @TommyToeHold: Masvidal coming out to the Scarface music is one of my all time favorite entrances. It's perfect. 	 RT @TommyToeHold: Masvidal coming out to the Scarface music is one of my all time favorite entrances. It's perfect. 		FredoWin	na
UFC211	  Masvidal got me convinced with that music.	  Masvidal got me convinced with that music.		Pete_Hero	na
UFC211	"I got Masvidal, but don't feel confident at all about it. Maia is such a beast. Here's my breakdown 
"	"I got Masvidal, but don't feel confident at all about it. Maia is such a beast. Here's my breakdown 
"	Maia	blakjordanbreen	na
UFC211	"""Gamebred"" vs. ""The Sleep-Inducing Backpack"" next! 🛌 "	"""Gamebred"" vs. ""The Sleep-Inducing Backpack"" next! 🛌 "		IndeedIndeedInc	na
nan	". @FrankieEdgar was fired up walking by media row. He just sent a reminder to anyone who doubted him going into this fight
"	". @FrankieEdgar was fired up walking by media row. He just sent a reminder to anyone who doubted him going into this fight
"		DbLaZe802	na
UFC211	"Maia with the Linkin Park classic walk out song 
"	"Maia with the Linkin Park classic walk out song 
"	Maia,Linkin Park	tootalljoness	na
UFC211	Yay Maia coming out to Numb by @linkinpark. Fucking love this guy. 	Yay Maia coming out to Numb by @linkinpark. Fucking love this guy. 	Yay Maia	joshflowers1	na
ufc211	masvidal the executioner 	masvidal the executioner 		Demitriousj	na
UFC211	 pretty crazy I bet you everybody thought that Frankie Edgar was going to get beat up because Rodriguez is so good but the opposite☺😀	 pretty crazy I bet you everybody thought that Frankie Edgar was going to get beat up because Rodriguez is so good but the opposite☺😀	Frankie Edgar,Rodriguez	chris_drop	na
UFC211, edgarvsrodriguez	So far the prelims for  have been better than the main card. Last 3 were all fight of the night contenders. But  👌🏾	So far the prelims for  have been better than the main card. Last 3 were all fight of the night contenders. But  👌🏾		BoydAlmighty	na
UFC211	Cuban nigga comes out to scarface theme song winner in my book, Arriba 🇨🇺!!!!! Lmao 	Cuban nigga comes out to scarface theme song winner in my book, Arriba 🇨🇺!!!!! Lmao 	Arriba	hrln_89	na
UFC211	I have so much respect for Frankie Edgar 	I have so much respect for Frankie Edgar 	Frankie Edgar	FashionHitList	na
UFC211	Masvidal is coming for that title! 	Masvidal is coming for that title! 	Masvidal	ElPayasoMMA	na
UFC211	Wow! @DustinPoirier pouring it on Eddie Alvarez at !! 	Wow! @DustinPoirier pouring it on Eddie Alvarez at !! 	Eddie Alvarez	AlwaysEvolving_	na
nan	Hopefully he will never win another one. 	Hopefully he will never win another one. 		TICKPADDYDARREN	na
UFC211	Live community chat  Maia vs Masvidal on the Sherdog Forums!!!  @sherdogdotcom… 	Live community chat  Maia vs Masvidal on the Sherdog Forums!!!  @sherdogdotcom… 	Maia	SherdogDrake	na
UFC211	Everyone who just watched David Branch def. Krzysztof Jotko please look into my pen here ....  	Everyone who just watched David Branch def. Krzysztof Jotko please look into my pen here ....  	David Branch	AaronG80	na
UFC211, DoctorWho, MasterofNone, frontcover, WangoTango, F4F	U have a secret here is a place to share it no judgements or DM is cool too      	U have a secret here is a place to share it no judgements or DM is cool too      		JaneDoethinks21	na
UFC211	He came out to the scarface theme 😂😂 	He came out to the scarface theme 😂😂 		800Hertz	na
TeamEasyMoney, UFC211	  let's go @GamebredFighter 	  let's go @GamebredFighter 		ricoj3323	na
UFC211	God, this fight is special. Masvidal/Maia @ufc @lthomasnews 	God, this fight is special. Masvidal/Maia @ufc @lthomasnews 	God	Chrismark94	na
UFC211	Highlights from Frankie Edgar vs. Yair Rodriguez  	Highlights from Frankie Edgar vs. Yair Rodriguez  	Frankie Edgar,Yair Rodriguez	ARomeroXVII	na
UFC211	This is my main event 	This is my main event 		RJD_96	na
nan	Let. Them. Know. 👊 	Let. Them. Know. 👊 		KingCalmette	na
UFC211	Frankie is a dream killer  Congrats 🎈	Frankie is a dream killer  Congrats 🎈	Frankie	JoshElliott313	na
UFC211	I got Demian this fight 	I got Demian this fight 		Fuckjorgetbh	na
UFC211	Maia vs Masvidal should be fantastic. Maia deserves the title shot but damn Masvidal is so much fun 	Maia vs Masvidal should be fantastic. Maia deserves the title shot but damn Masvidal is so much fun 	Maia,Maia	Luv_Shukla	na
FansWin, UFC211, JorgeMasvidal, DamienMaia	Yikes two of my favorite fighters up next!     @ufc	Yikes two of my favorite fighters up next!     @ufc		CollinBreaux	na
UFC211	@EliasTheodorou That first album was pretty sweet tho.... 	@EliasTheodorou That first album was pretty sweet tho.... 		ArdaOcalTV	na
UFC211	Punchfaces galore, y'all. That was ridic.  	Punchfaces galore, y'all. That was ridic.  		GleidsonMMA	na
nan	Straight killer. 	Straight killer. 		Slapcevic12	na
UFC211	I like Masvidal but this is a easy win for Maia 	I like Masvidal but this is a easy win for Maia 	Maia	Moshinho	na
nan	damn, @FrankieEdgar fucked him up pretty bad! 	damn, @FrankieEdgar fucked him up pretty bad! 		ItsJanado	na
UFC211	If I can't watch a @TheNotoriousMMA or @Cody_Nolove fight ???  will do! Haha! Great card so far! 👊	If I can't watch a @TheNotoriousMMA or @Cody_Nolove fight ???  will do! Haha! Great card so far! 👊		Nameluss1	na
UFC211	"Dear Demian Maia,

Please don't get Nate Marquardted again by Masvidal.  @UFC"	"Dear Demian Maia,

Please don't get Nate Marquardted again by Masvidal.  @UFC"	Demian Maia,Nate	MikeJBknows	na
UFC211	Hope @demianmaia gives @GamebredFighter some humble pie 	Hope @demianmaia gives @GamebredFighter some humble pie 		Toby98	na
UFC211	"More of the same by @FrankieEdgar
 "	"More of the same by @FrankieEdgar
 "		FriskoAteUrKID	na
ufc211	Already nervous as shit. Let's go @GamebredFighter !!!! 💪🏼💪🏼💪🏼	Already nervous as shit. Let's go @GamebredFighter !!!! 💪🏼💪🏼💪🏼		berdgit	na
UFC211	Let's go @GamebredFighter !!!! 🔥👊🏻💪🏻 	Let's go @GamebredFighter !!!! 🔥👊🏻💪🏻 		Muay_Thai_Lover	na
UFC211	does another number one contendership keep his slot or does the Agent 47 of UFC take it from him 	does another number one contendership keep his slot or does the Agent 47 of UFC take it from him 	UFC	DaDrainPipe	na
UFC211	Scarface theme I love it @GamebredFighter 	Scarface theme I love it @GamebredFighter 		CigarCity27	na
nan	Damn 	Damn 		Franksantin_23	na
ufc211	"Frankie edgar vs cub swanson?
"	"Frankie edgar vs cub swanson?
"	Frankie edgar	JoeRoga64441572	na
UFC211	"Demian Maia walks out to Linkin Park “Numb” 
  "	"Demian Maia walks out to Linkin Park “Numb” 
  "	Demian Maia,Linkin Park	sherdogdotcom	na
UFC211	"Jorge Masvidal self-imposing Arn Anderson's ""Enforcer"" duties on the UFC roster. "	"Jorge Masvidal self-imposing Arn Anderson's ""Enforcer"" duties on the UFC roster. "	Jorge Masvidal,Arn Anderson,Enforcer	SecretMovesMMA	na
UFC211	 Post Fight Interview with @DavidcBranchMMA @BSO 	 Post Fight Interview with @DavidcBranchMMA @BSO 		TheTruthJackson	na
gamebred	Here we go!  	Here we go!  		user004931	na
UFC211	If Masvidal can take Maia into the 3rd round, Maia will tire & be susceptible to be KO'd. Otherwise Masvidal will be subbed in 1st. 	If Masvidal can take Maia into the 3rd round, Maia will tire & be susceptible to be KO'd. Otherwise Masvidal will be subbed in 1st. 	Maia,Maia,KO'd.Otherwise Masvidal	MontyArthur	na
UFC211	What's up MichaelIrvin88?!   	What's up MichaelIrvin88?!   		GetPaidinBlood	na
UFC211	Alright!!! 	Alright!!! 		JericsonCantubs	na
nan	Yuuuuuckkkk. Doesn't even look like himself 	Yuuuuuckkkk. Doesn't even look like himself 		ChrisC0llins	na
UFC211	@GamebredFighter coming out to the Scarface theme was cold as ice!! 	@GamebredFighter coming out to the Scarface theme was cold as ice!! 	Scarface	EmpeyJoel	na
UFC211	Maia threw more shadow-box punches in the hype package than he will in this fight. 	Maia threw more shadow-box punches in the hype package than he will in this fight. 	Maia	bendertm	na
UFC211, zacbrownbandlive, WangoTango	TMT Boxer Broke And Driving Uber    Bobby Ryan ... 	TMT Boxer Broke And Driving Uber    Bobby Ryan ... 	Bobby Ryan	iam_dapeter	na
UFC211	DEMIAN WHAT ARE YOU DOING. LINKIN PARK CURSE. NOOOOOO 	DEMIAN WHAT ARE YOU DOING. LINKIN PARK CURSE. NOOOOOO 	LINKIN PARK CURSE	Sir_Brendan	na
UFC211	Come on Maia 	Come on Maia 	Maia	DPlatt3699	na
UFC211	Masvidal is a true fighter with a salty 32-11 record, but I like him for this matchup. 	Masvidal is a true fighter with a salty 32-11 record, but I like him for this matchup. 		christianvluc	na
nan	Good heavens.  Top level mangling. 	Good heavens.  Top level mangling. 		TheEliJordan	na
UFC211	" Very Interesting Fight Coming Up!!
@GamebredFighter vs @demianmaia??"	" Very Interesting Fight Coming Up!!
@GamebredFighter vs @demianmaia??"		AnthonyHunt9	na
UFC211	Eddie Alvarez won that fight via Prison Rules. 	Eddie Alvarez won that fight via Prison Rules. 	Eddie Alvarez	That_guy_621	na
UFC211	Come on @demianmaia 	Come on @demianmaia 		XdanielkingX	na
DefendTheLand, UFC211	"Good luck to the champ @stipemiocicufc tonight! 👊🏼
 
We’ll be cheering for you when you  at !… "	"Good luck to the champ @stipemiocicufc tonight! 👊🏼
 
We’ll be cheering for you when you  at !… "		TayWits	na
UFC211	Maia v Masvidal this was my favorite interesting matchup to watch. Can anyone in this division figure the puzzle of Maia 👀	Maia v Masvidal this was my favorite interesting matchup to watch. Can anyone in this division figure the puzzle of Maia 👀	Maia,Maia	mvpdream34	na
UFC211	Maia is the greatest BJJ practitioner to ever step into the octagon.  	Maia is the greatest BJJ practitioner to ever step into the octagon.  	Maia	Notorious_RAF	na
UFC211	So pumped for this match up! Who you got?  	So pumped for this match up! Who you got?  		Migstah	na
UFC211, LEGEND	Congrats @FrankieEdgar u did great job! titleshot next!	Congrats @FrankieEdgar u did great job! titleshot next!		knockouts365	na
UFC211	Maia can still get it. 	Maia can still get it. 		RealMainEvent	na
UFC211	Watching Edgar smash the shit outta that damn eye  	Watching Edgar smash the shit outta that damn eye  	Edgar	ikilled_anthony	na
ufc211	Let's go Maia. 	Let's go Maia. 	Maia	mcshanesound	na
Fiverr, UFC211, zacbrownbandlive	Check this out! I will do computer networking and IT security on    	Check this out! I will do computer networking and IT security on    		newton_engineer	na
nan	Yep. I think Yair needs to move to a bigger camp, full-time. 	Yep. I think Yair needs to move to a bigger camp, full-time. 		mookiealexander	na
nan	Maia has the best bjj in MMA & if he takes Masvidal to the mat, it's a done deal but if it stays standing, that's Masvidal's fight 	Maia has the best bjj in MMA & if he takes Masvidal to the mat, it's a done deal but if it stays standing, that's Masvidal's fight 	Maia,MMA	mrlopez84	na
ufc211	lets hope this is proven wrong.  	lets hope this is proven wrong.  		thanew	na
UFC211	Masvidal can absolutely win. Takedown defense and boxing are his best friends tonight. 	Masvidal can absolutely win. Takedown defense and boxing are his best friends tonight. 		westcoastlolo_	na
UFC211	Well deserved! @FakeJoeSilva  	Well deserved! @FakeJoeSilva  		morgyman	na
UFC211	A title shot is on the line at . It's demianmaia vs. Jorge Masvidal (GamebredFighter) up now.… 	A title shot is on the line at . It's demianmaia vs. Jorge Masvidal (GamebredFighter) up now.… 	Jorge Masvidal	MMAHWatch	na
gruesome, UFC211	Tbh I honestly thought Pantera was going to win this one but oh well... Nice performance by Frankie though  	Tbh I honestly thought Pantera was going to win this one but oh well... Nice performance by Frankie though  	Pantera,Frankie	AlexRdz185	na
UFC211, mma, mixedmartialarts, ufc	One of the few times I fuck with Linkin Park is when Demian Maia comes out to the cage    	One of the few times I fuck with Linkin Park is when Demian Maia comes out to the cage    	Linkin Park,Demian Maia	LibertyMediaCAN	na
UFC211	lmao rip yair rodriguez's eye that was disgusting i am fully aware i am very late in tweeting that 	lmao rip yair rodriguez's eye that was disgusting i am fully aware i am very late in tweeting that 	rodriguez	realcamshady	na
ufc211	Joe Silva would not have made Yair/Edgar. :) 	Joe Silva would not have made Yair/Edgar. :) 	Joe Silva	FaintOfMatts	na
UFC211	I got Maia here. 	I got Maia here. 	Maia	Skyrim_Jobs	na
UFC211	"HERE WE GO. 

Welterweights square off as DemianMaia takes on GamebredFighter NOW on PPV!!  "	"HERE WE GO. 

Welterweights square off as DemianMaia takes on GamebredFighter NOW on PPV!!  "	DemianMaia,PPV	MMAHWatch	na
